time,face_id,emotion
5066.666666666667,0,Sad
5133.333333333333,0,Sad
5266.666666666667,0,Neutral
5400.0,0,Neutral
5466.666666666667,0,Neutral
5533.333333333333,0,Sad
5800.0,0,Neutral
5866.666666666667,0,Neutral
6000.0,0,Neutral
6066.666666666667,0,Neutral
6200.0,0,Neutral
6266.666666666667,0,Neutral
6333.333333333333,0,Happy
7866.666666666667,0,Happy
8000.0,0,Neutral
8133.333333333333,0,Neutral
8200.0,0,Happy
8266.666666666666,0,Happy
8333.333333333334,0,Neutral
8466.666666666666,0,Neutral
8533.333333333334,0,Neutral
8600.0,0,Neutral
8666.666666666666,0,Happy
8733.333333333334,0,Happy
8866.666666666666,0,Happy
8933.333333333334,0,Happy
9000.0,0,Sad
9066.666666666666,0,Happy
9200.0,0,Happy
9266.666666666666,0,Happy
9333.333333333334,0,Happy
9400.0,0,Happy
9466.666666666666,0,Happy
9600.0,0,Happy
9666.666666666666,0,Happy
9733.333333333334,0,Sad
9733.333333333334,1,Happy
9800.0,0,Neutral
9800.0,1,Happy
9933.333333333334,0,Neutral
9933.333333333334,1,Happy
10000.0,0,Neutral
10000.0,1,Happy
10066.666666666666,0,Happy
10066.666666666666,1,Happy
10133.333333333334,0,Happy
10133.333333333334,1,Happy
10200.0,0,Happy
10200.0,1,Happy
10333.333333333334,0,Happy
10333.333333333334,1,Neutral
10400.0,0,Happy
10400.0,1,Neutral
10466.666666666666,0,Happy
10466.666666666666,1,Neutral
10533.333333333334,0,Happy
10533.333333333334,1,Neutral
10600.0,0,Happy
10600.0,1,Neutral
10666.666666666666,0,Neutral
10666.666666666666,1,Neutral
10800.0,0,Neutral
10800.0,1,Neutral
10866.666666666666,0,Neutral
10866.666666666666,1,Neutral
10933.333333333334,0,Neutral
10933.333333333334,1,Neutral
11000.0,0,Neutral
11000.0,1,Sad
11066.666666666666,0,Happy
11066.666666666666,1,Sad
11200.0,0,Sad
11200.0,1,Neutral
11266.666666666666,0,Neutral
11266.666666666666,1,Neutral
11333.333333333334,0,Happy
11333.333333333334,1,Neutral
